,user_id,login_date,login_time,logout_date,logout_time,duration_seconds,session_id
0,5c55c572-683b-11ee-aca7-8699b86be788,2010-05-08,2023-11-18 14:40:34,2010-05-08,2023-11-18 14:41:53,79.0,0
1,5c55c572-683b-11ee-aca7-8699b86be788,2010-05-08,2023-11-18 16:50:15,2010-05-08,2023-11-18 16:50:45,30.0,1
2,5c55c572-683b-11ee-aca7-8699b86be788,2010-05-08,2023-11-18 18:11:35,2010-05-08,2023-11-18 18:15:03,208.0,2
3,5c55c572-683b-11ee-aca7-8699b86be788,2010-05-08,2023-11-18 19:06:41,2010-05-08,2023-11-18 19:10:53,252.0,3
4,5c55c572-683b-11ee-aca7-8699b86be788,2010-05-09,2023-11-18 19:02:26,2010-05-09,2023-11-18 19:09:43,437.0,4
5,5c55c572-683b-11ee-aca7-8699b86be788,2010-05-09,2023-11-18 19:58:59,2010-05-09,2023-11-18 20:07:40,521.0,5
6,5c55c572-683b-11ee-aca7-8699b86be788,2010-05-10,2023-11-18 21:12:40,2010-05-10,2023-11-18 21:20:39,479.0,6
7,5c55c572-683b-11ee-aca7-8699b86be788,2010-05-11,2023-11-18 22:49:32,2010-05-11,2023-11-18 22:50:04,32.0,7
8,5c55c572-683b-11ee-aca7-8699b86be788,2010-05-12,2023-11-18 23:46:21,2010-05-12,2023-11-18 23:47:12,51.0,8
9,5c55c572-683b-11ee-aca7-8699b86be788,2010-05-12,2023-11-18 23:56:56,2010-05-13,2023-11-18 00:01:49,293.0,9
10,5c55c572-683b-11ee-aca7-8699b86be788,2010-05-15,2023-11-18 23:52:24,2010-05-15,2023-11-18 23:53:20,56.0,10
11,5c55c572-683b-11ee-aca7-8699b86be788,2010-05-15,2023-11-18 23:58:44,2010-05-16,2023-11-18 00:04:27,343.0,11
12,5c55c572-683b-11ee-aca7-8699b86be788,2010-05-17,2023-11-18 23:59:55,2010-05-18,2023-11-18 00:01:49,114.0,12
13,5c55c572-683b-11ee-aca7-8699b86be788,2010-05-18,2023-11-18 13:39:47,2010-05-18,2023-11-18 13:45:46,359.0,13
14,5c55c572-683b-11ee-aca7-8699b86be788,2010-05-19,2023-11-18 23:54:30,2010-05-20,2023-11-18 00:03:23,533.0,14
15,5c55c572-683b-11ee-aca7-8699b86be788,2010-05-22,2023-11-18 23:57:58,2010-05-22,2023-11-18 23:58:33,35.0,15
16,5c55c572-683b-11ee-aca7-8699b86be788,2010-05-22,2023-11-18 23:59:47,2010-05-23,2023-11-18 00:03:07,200.0,16
17,5c55c572-683b-11ee-aca7-8699b86be788,2010-05-23,2023-11-18 00:09:07,,,,17
18,5c585d32-683b-11ee-aca7-8699b86be788,2010-05-10,2023-11-18 19:55:25,2010-05-10,2023-11-18 19:57:32,127.0,18
19,5c585d32-683b-11ee-aca7-8699b86be788,2010-05-10,2023-11-18 20:18:08,2010-05-10,2023-11-18 20:21:13,185.0,19
20,5c585d32-683b-11ee-aca7-8699b86be788,2010-05-13,2023-11-18 13:33:25,2010-05-13,2023-11-18 13:43:17,592.0,20
21,5c585d32-683b-11ee-aca7-8699b86be788,2010-05-13,2023-11-18 13:53:40,2010-05-13,2023-11-18 14:03:17,577.0,21
22,5c585d32-683b-11ee-aca7-8699b86be788,2010-05-16,2023-11-18 23:28:41,2010-05-16,2023-11-18 23:39:17,636.0,22
23,5c585d32-683b-11ee-aca7-8699b86be788,2010-05-16,2023-11-18 23:59:26,2010-05-17,2023-11-18 00:00:30,64.0,23
24,5c585d32-683b-11ee-aca7-8699b86be788,2010-05-18,2023-11-18 13:55:04,2010-05-18,2023-11-18 13:56:47,103.0,24
25,5c585d32-683b-11ee-aca7-8699b86be788,2010-05-19,2023-11-18 23:49:11,2010-05-19,2023-11-18 23:54:48,337.0,25
26,5c585d32-683b-11ee-aca7-8699b86be788,2010-05-20,2023-11-18 19:58:50,2010-05-20,2023-11-18 20:03:51,301.0,26
27,5c585d32-683b-11ee-aca7-8699b86be788,2010-05-21,2023-11-18 23:58:23,2010-05-22,2023-11-18 00:03:04,281.0,27
28,5c585d32-683b-11ee-aca7-8699b86be788,2010-05-22,2023-11-18 23:23:36,2010-05-22,2023-11-18 23:33:58,622.0,28
29,5c585d32-683b-11ee-aca7-8699b86be788,2010-05-22,2023-11-18 23:33:58,,,,29
30,5ce8ab8a-683b-11ee-aca7-8699b86be788,2010-05-10,2023-11-18 21:18:42,2010-05-10,2023-11-18 21:20:29,107.0,30
